what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568333348708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568333349776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568333350933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568333352078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568333355627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568333361577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568333366412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568333387939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1568333403973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568333409969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333436502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333456394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333458778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333615197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333633923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333637749
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1568333932152
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1568333933407
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1568333950218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333954274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333958357
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1568333958836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333958948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333962223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333965762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568333970765
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1568333979689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568334005027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568334006268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568334008870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568334012575
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1568334023333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568334027356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568334029841
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1568334030251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568334032679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568334034192
